"2429,11,""ARG"",""Argentina"",7,""Corrientes"",211,""Bella Vista"","""","""",""Departamento"",""Department"""
"2430,11,""ARG"",""Argentina"",7,""Corrientes"",212,""Berón de Astrada"","""","""",""Departamento"",""Department"""
"2431,11,""ARG"",""Argentina"",7,""Corrientes"",213,""Capital"","""",""Corrientes|Capital (Corrientes)"",""Departamento"",""Department"""
"2432,11,""ARG"",""Argentina"",7,""Corrientes"",214,""Concepción"","""","""",""Departamento"",""Department"""
"2433,11,""ARG"",""Argentina"",7,""Corrientes"",215,""Curuzú Cuatiá"","""","""",""Departamento"",""Department"""
"2434,11,""ARG"",""Argentina"",7,""Corrientes"",216,""Empedrado"","""","""",""Departamento"",""Department"""
"2435,11,""ARG"",""Argentina"",7,""Corrientes"",217,""Esquina"","""","""",""Departamento"",""Department"""
"2436,11,""ARG"",""Argentina"",7,""Corrientes"",218,""General Alvear"","""",""Alvear"",""Departamento"",""Department"""
"2437,11,""ARG"",""Argentina"",7,""Corrientes"",219,""General Paz"","""",""Ganeral Paz"",""Departamento"",""Department"""
"2438,11,""ARG"",""Argentina"",7,""Corrientes"",220,""Goya"","""","""",""Departamento"",""Department"""
"2439,11,""ARG"",""Argentina"",7,""Corrientes"",221,""Itatí"","""","""",""Departamento"",""Department"""
"2440,11,""ARG"",""Argentina"",7,""Corrientes"",222,""Ituzaingó"","""","""",""Departamento"",""Department"""
"2441,11,""ARG"",""Argentina"",7,""Corrientes"",223,""Lavalle"","""","""",""Departamento"",""Department"""
"2442,11,""ARG"",""Argentina"",7,""Corrientes"",224,""Mburucuyá"","""",""Mburucuy|Mburucuy"",""Departamento"",""Department"""
"2443,11,""ARG"",""Argentina"",7,""Corrientes"",225,""Mercedes"","""","""",""Departamento"",""Department"""
"2444,11,""ARG"",""Argentina"",7,""Corrientes"",226,""Monte Caseros"","""","""",""Departamento"",""Department"""
"2445,11,""ARG"",""Argentina"",7,""Corrientes"",227,""Paso de los Libres"","""","""",""Departamento"",""Department"""
"2446,11,""ARG"",""Argentina"",7,""Corrientes"",228,""Saladas"","""","""",""Departamento"",""Department"""
"2447,11,""ARG"",""Argentina"",7,""Corrientes"",229,""San Cosme"","""","""",""Departamento"",""Department"""
"2448,11,""ARG"",""Argentina"",7,""Corrientes"",230,""San Luis del Palmar"","""",""San Luis del Pal"",""Departamento"",""Department"""
"2449,11,""ARG"",""Argentina"",7,""Corrientes"",231,""San Martín"","""",""La Cruz"",""Departamento"",""Department"""
"2450,11,""ARG"",""Argentina"",7,""Corrientes"",232,""San Miguel"","""","""",""Departamento"",""Department"""
"2451,11,""ARG"",""Argentina"",7,""Corrientes"",233,""San Roque"","""","""",""Departamento"",""Department"""
"2452,11,""ARG"",""Argentina"",7,""Corrientes"",234,""Santo Tomé"","""","""",""Departamento"",""Department"""
"2453,11,""ARG"",""Argentina"",7,""Corrientes"",235,""Sauce"","""","""",""Departamento"",""Department"""
